FSIGENCD,FSIGENCLASSCD,FSIGENGRPCD,FSIGENMEI
021,M02,M-M02-003,HCN-4000NEO 1号機
022,M02,M-M02-003,HCN-4000NEO 2号機
030,M02,M-M02-002,立型(三井VSVR3A)
031,M02,M-M02-003,横型(新潟SPN63)
032,M02,M-M02-003,横型(ﾏｻﾞｯｸH-630)
033,M02,M-M02-003,横型（ニイガタＮ７）
035,M02,M-M02-003,横型(新潟HN80C)
040,M02,M-M02-002,立型(森MV-65B）
050,M02,M-M02-002,立型(FANUCロボドリル)
051,M02,M-M02-002,立型(FANUCロボドリル1号機)
052,M02,M-M02-002,立型(FANUCロボドリル2号機)
060,M02,M-M02-002,立型(FJV50/80）
060,M02,M-M02-002,立型(ﾏｻﾞｯｸFJV50/
070,M02,M-M02-002,立型(大隈MB46VA)
071,M02,M-M02-002,立型(大隈MB46VAE)
080,M02,M-M02-002,立型(FJV60/80)
120,M02,M-M02-002,旋盤
130,M02,M-M02-002,NC旋盤（クイックターン）
230,M02,M-M02-002,卓上･ﾗｼﾞｱﾙﾎﾞｰﾙ盤
24M,M02,M-M02-003,三井HS3A(24号機）
25M,M02,M-M02-003,三井HS3A(25号機）
26M,M02,M-M02-003,三井HS3A(26号機）
27M,M02,M-M02-003,三井HS3A(27号機）
280,M02,M-M02-002,立型中ぐり盤(6CN
290,M02,M-M02-002,治具ﾎﾞｰﾗｰ
29M,M02,M-M02-003,三井HS3A(29号機）
29N,M02,M-M02-002,NCﾌﾗｲｽ盤
305,M02,M-M02-004,305　PSG-305DX
320,M02,M-M02-005,ﾌﾗｲｽ盤
500,M02,M-M02-002,5軸加工機
500,M02,M-M02-002,5軸加工機（Vertex)
501,M02,M-M02-001,東芝MPE-2130
502,M02,M-M02-001,大隈MCR-A5C
503,M02,M-M02-002,5軸加工機（MU-4000V)
504,M02,M-M02-002,複合加工機(INTEGREX-i350H)
550,M02,M-M02-005,切断機
560,M02,M-M02-005,ﾛｰﾀﾘｰ研削盤
561,M02,M-M02-005,放電加工機
563,M02,M-M02-005,帯鋸盤・ﾌｧｲﾝｶｯﾄ
564,M02,M-M02-005,丸鋸盤
581,M02,M-M02-004,581　PSG-2015
582,M02,M-M02-004,582　PSG-308
583,M02,M-M02-004,583　PSG157
584,M02,M-M02-004,584　PSG63
585,M02,M-M02-004,585　PSG63
586,M02,M-M02-004,586　GHL-B516T
587,M02,M-M02-004,587　GHL-B520T
